vendor_id,vendor_name,category_code,provenance
02fa1041-ddcd-5883-8de5-e7279d532d52,RELIANCE FRESH,LOG,synthetic_extension_v1
03398435-d65f-54a1-88a2-e7df04f2ab90,VODAFONE IDEA,LOG,synthetic_extension_v1
033df6de-e39a-556f-ac50-8ec5164d7754,Malhotra and Sons,SUP,synthetic_extension_v1
03ba3397-9a87-5567-932d-7e6f23d16ecf,"Wason, Johal and Taneja",TECH,synthetic_extension_v1
062191ca-fb59-5745-8ad0-f4e1b0f0614e,BSNL,SUP,synthetic_extension_v1
062379c9-df52-5839-ac2c-84c2f769737e,PAYTM,TECH,synthetic_extension_v1
0a8aafe5-fade-50a3-b44a-65fe01a3f5e3,HELIOUS MUTUAL FUND,SERV,synthetic_extension_v1
0abe02c5-6298-5e60-8222-19e57456cc9c,"Dhawan, Pandya and Chaudhary",SUP,synthetic_extension_v1
114c70f3-eaf2-56e0-9473-09db419bd72b,"Rattan, Agrawal and Madan",SERV,synthetic_extension_v1
120a5a93-1687-5da0-b93a-351c35912e25,"Dada, Pall and Kapadia",TECH,synthetic_extension_v1
14d404d2-4217-5119-97fc-0aa76600055f,Choudhary PLC,SUP,synthetic_extension_v1
15205565-6528-5522-9ba1-6c8a769002f2,RELIANCE GENERAL,SERV,synthetic_extension_v1
19581aae-06ea-5c39-9399-25aef009de24,OLA CABS,LOG,synthetic_extension_v1
1dcd9d91-6524-598c-9bc4-13ae14df9657,JIO INFCOMM,SERV,synthetic_extension_v1
1e7245ad-12eb-5c96-8d0a-dc1f95537f98,Khanna-Chacko,LOG,synthetic_extension_v1
1ef3253b-e232-5f1a-8edb-c45155652071,Pal-Wagle,TECH,synthetic_extension_v1
1f5defae-80c0-5a20-b76e-6b65ca56f2e5,Sood Group,LOG,synthetic_extension_v1
201f525a-3068-5046-b028-7def29460c9d,GOIBIBO,SERV,synthetic_extension_v1
20ba8481-4838-57a8-85c4-600e334e994d,PHONEPE,SUP,synthetic_extension_v1
21433154-873b-5278-942c-b1731fd3c3cb,DMART,SERV,synthetic_extension_v1
223fad70-b21a-5c70-9af7-0f6ac0e06c80,Dora Inc,LOG,synthetic_extension_v1
2482678b-b707-5b50-a10d-0bafdc2444bb,"Dara, Balasubramanian and Dube",UTIL,synthetic_extension_v1
24c395d5-926a-5626-aefc-90c253e9d26a,SELECTRICITY TWO PRIVATE LIMIT,TECH,synthetic_extension_v1
252d221d-75f9-503d-a310-5720c7e3f003,ADANI ELECTRICITY,SERV,synthetic_extension_v1
25974edd-0cb8-5af8-ba05-a4fdf1bc3e7e,Brar and Sons,SUP,synthetic_extension_v1
264879eb-432f-5dec-bb7c-ced8802ee711,LIC OF INDIA,SUP,synthetic_extension_v1
26fccec6-9ded-5756-8d18-1f83c0eef0ac,Badami-Chandran,TECH,synthetic_extension_v1
291a230d-b959-548a-bb4e-48ef410ee686,UNITED INDIA INSURANCE,SUP,synthetic_extension_v1
2944fa7a-c322-53a9-ba46-4cb8c85c8d15,L&T MUTUAL FUND,TECH,synthetic_extension_v1
2a46d6e0-9626-547a-9492-f77626fc9294,Date-Merchant,SERV,synthetic_extension_v1
2c5245f6-45e2-5ada-9149-36fccc79f4ad,"Upadhyay, Toor and Padmanabhan",SERV,synthetic_extension_v1
2c7fa604-b973-51cd-aaeb-33054db07262,PETROL PUMP,LOG,synthetic_extension_v1
2d1d458e-5865-5c48-9509-f6f7545a86e6,Wagle Ltd,UTIL,synthetic_extension_v1
2ddcf1b8-1753-56b3-a60a-27ba9b9a0c8b,TATA AIA,LOG,synthetic_extension_v1
2e8d5717-28ff-507f-9a7a-87f8c9fbeee0,"Lanka, Sood and Hari",UTIL,synthetic_extension_v1
3045c937-d3d2-5d34-a1f6-1f3f4fd0a24c,ICICI PRUDENTIAL,UTIL,synthetic_extension_v1
315fc2e5-c7c0-5896-a2f9-456bbbb8ef45,"Butala, Gill and Jhaveri",SERV,synthetic_extension_v1
33460873-b38d-5c4e-b1bb-75ac8bbd4e7b,"Mukherjee, Nayar and Viswanath",SERV,synthetic_extension_v1
33a6b8a6-abac-54c4-a6c2-2c1cf624fe48,"Patil, De and Trivedi",UTIL,synthetic_extension_v1
3456c0ef-54d0-5186-a3e4-ac20cf27a837,CLEARTRIP,TECH,synthetic_extension_v1
34cf4669-d6e9-5cce-9dea-178bf3ae6c2e,Sood-Lal,SUP,synthetic_extension_v1
37164bdb-4512-552f-8f5e-9f176f3fd5bb,ICICI MUTUAL FUND,TECH,synthetic_extension_v1
37fa3390-3c13-5b9d-91da-fd76fbb1f631,BAJAJ ALLIANZ GENERAL,SUP,synthetic_extension_v1
39232d57-1696-57b0-88d3-e9f5e8ed24f2,Sarna-Kadakia,UTIL,synthetic_extension_v1
3c177632-4e9b-5264-a280-4cb38b8872a6,Goda-Panchal,SUP,synthetic_extension_v1
3c63875d-003b-5dad-a224-5ee021b53f6f,Menon-Saraf,UTIL,synthetic_extension_v1
3cfda5b9-7dde-55fa-8cfa-d3b7d9e475ff,Dara-Raju,SUP,synthetic_extension_v1
