allocation_id,transaction_id,vendor_id,category_code,kind,amount_minor,provenance
00008ef2-d966-5891-8210-b679689168ba,16973e08-7a9f-4fa4-895a-2ef3354ad1fa,,UNCLASS,unclassified,-3385036,original_unclassified
00013e15-9d62-5201-a926-b35a5e7fdffc,908afc15-d655-41de-a531-5f1edafa211f,,UNCLASS,unclassified,-3907424,original_unclassified
00037e11-4187-5ef7-972f-a366616ca88c,c47aab4c-1a4a-4ed2-aacf-0b47548eadef,,UNCLASS,unclassified,-4369630,original_unclassified
00065f1d-bfa3-5268-8d1d-4ca6ad2f605e,4087a4ea-de0e-4143-b802-582ec17fd18e,,UNCLASS,unclassified,-49397665,original_unclassified
000e05e1-35e6-5938-b4b9-b33f238f0ee3,dbacc58e-b812-4468-9702-6c3ddfe5031c,,UNCLASS,unclassified,-18690229,original_unclassified
00131732-66a6-544d-ad7d-c24f5ddde86c,5c29f2a0-1817-40e7-9b59-2f1214cf46f9,,UNCLASS,unclassified,-40251978,original_unclassified
001abd9e-c490-50e7-85c7-63b5ce052e9f,dc2eab29-3e7e-45ca-808d-c3441d292025,,UNCLASS,unclassified,-3961150,original_unclassified
001b6a7b-4857-5d6a-8eaa-f0128b532334,97eeafdc-6c99-4887-8497-19cc28c2b8e8,,UNCLASS,unclassified,10939156,original_unclassified
001d4b81-0b36-55dd-929b-dd781c3ec28f,ab39ac67-afe1-4d9c-aac8-a161c0791850,,UNCLASS,unclassified,192361,original_unclassified
001ed671-f815-5368-8484-d79daecc71a4,802f34eb-0ba5-4b17-a271-1c43b587e6ac,,UNCLASS,unclassified,527557,original_unclassified
0022ec65-a383-55c6-a94f-d82844fe04b2,f7fd0d10-b771-4868-9ce8-cb1518352fef,,UNCLASS,unclassified,2224889,original_unclassified
00245b50-3f81-5164-8ed9-cb3fce304002,9ec977f2-3f7b-44c4-88db-cfa64b02ab37,,UNCLASS,unclassified,-4588813,original_unclassified
00270fac-eb16-5a7d-a087-b48368b0d051,b5189ab4-7024-4637-b085-78b06082a783,,UNCLASS,unclassified,-35844758,original_unclassified
0028f141-25ff-5681-a7f4-b28c09d6ab9c,72e68927-83ea-4779-bb15-8de77bcb99f3,,UNCLASS,unclassified,-1409560,original_unclassified
002929a7-7db9-5b38-a178-498f517acb02,388f1cf4-b4cc-4a43-9c09-3f2027d66945,,UNCLASS,unclassified,-4056576,original_unclassified
0030530c-ef35-580f-aec3-02f45f630965,86da19f2-a78e-442c-b42f-9fb19d9105eb,,UNCLASS,unclassified,4362757,original_unclassified
00328720-ffca-50bd-aabf-29791f3c6f80,f4b6b138-c445-424c-8b0c-29254fae6c4f,,UNCLASS,unclassified,-35960462,original_unclassified
0033bab7-4894-580e-bbd7-860320d2ef3d,47768d02-1a38-4a84-943e-b094ab391075,,UNCLASS,unclassified,41117170,original_unclassified
0034fe42-4c6b-5735-9023-8f70376c2276,444d395e-6d48-4eb0-beef-17b6e866f60e,,UNCLASS,unclassified,44059102,original_unclassified
00369126-1031-580e-a2fc-1827d7988562,9835322b-e53b-4c08-9dd5-ee3833a6b219,,UNCLASS,unclassified,4567725,original_unclassified
003c45cc-84d9-5913-87fa-a6e7cbd324f1,2d405cad-c5a6-45f3-ab03-e82a2b299a48,,UNCLASS,unclassified,-981179,original_unclassified
