match_id,case_id,entry_id,transaction_id,amount_minor
009977ae-fc50-54a5-9d71-63591643705f,REC-LEGACY-0371,LED-LEGACY-0371,be8ac359-9787-41ee-adc9-9ec61d7ff8eb,35453
02ea45af-62d8-54a7-964a-d7d69523cca5,REC-LEGACY-0101,LED-LEGACY-0101,32f93e8f-befd-4a2a-8569-de09043a34ea,1769622
0459a34b-4f91-5b95-bee0-8eb34690ff11,REC-LEGACY-0257,LED-LEGACY-0257,83eb7bb1-c502-4e6f-893a-20a4c28afaf3,3217186
05207744-eaf2-551c-b176-c6d9b0d6962b,REC-LEGACY-0005,LED-LEGACY-0005,025ccaaa-f7fc-44ae-8254-415debbd3bf7,2768795
05be6a52-bd09-5bcd-9496-31f440a2a21a,REC-LEGACY-0083,LED-LEGACY-0083,2a1c6326-f8c4-471b-9cd3-2f0c26d3a7e9,39919018
068c9f4c-f9ed-51cd-94a6-de43e0dcfc06,REC-LEGACY-0034,LED-LEGACY-0034,10a86cec-62a1-4c01-8c26-0f4fdb1a4bb5,284947623
06a930c0-5366-5746-93f7-29a1d37b1d27,REC-PARTIAL,LED-PARTIAL,c3c30eb4-4282-51c5-b831-c766a537c378,400000
07de3302-0435-59b5-91f7-54531043b322,REC-LEGACY-0146,LED-LEGACY-0146,4b19353a-f2ea-48f8-85b0-d72fdf3ed316,3619868
08227679-ac67-5afd-9425-a521c8ae4eea,REC-LEGACY-0481,LED-LEGACY-0481,f61d6467-b7bb-462b-918c-adc2d22d3159,2365899
0ac129ce-97e2-5401-8925-a3735f14f90d,REC-LEGACY-0220,LED-LEGACY-0220,70ea9536-c798-4b38-a284-29726b865d8e,887806
0af77a39-761a-5fd9-9731-c5c4f3fa0e10,REC-LEGACY-0306,LED-LEGACY-0306,9de06f3b-4958-44a9-bf13-0d8062e685c1,843303
0bd09cab-27f9-535e-985a-e71d6bab7312,REC-LEGACY-0205,LED-LEGACY-0205,68ef1dd9-42fc-413b-aef0-ba337e024991,1377909
0ded770d-990f-5ffd-b577-4ec8001ed2c3,REC-LEGACY-0343,LED-LEGACY-0343,afc7ad1e-e736-431b-9bff-524990539cde,4082685
0e229c57-7b48-5d6a-bf85-88e575fdd1bb,REC-LEGACY-0196,LED-LEGACY-0196,645a1b50-f12e-4826-8dfd-13cf3542f3f4,3749712
0e864d1d-bf18-5044-992b-97f7324c3cd1,REC-LEGACY-0204,LED-LEGACY-0204,689dda7f-76af-41ae-9012-8276441448b6,4031200
0e9c372b-f4f4-5c0c-90a2-7422f659ac72,REC-LEGACY-0078,LED-LEGACY-0078,2760ccaa-da31-499c-82e7-93bbb4016e9e,426154
0eb0bc57-c0a2-5464-b96d-0a4c3804ae56,REC-SPLIT,LED-SPLIT,129e5a23-d8aa-51ec-9ab9-abf22e19d8e6,400000
0eeb13a3-e4bb-5177-8d29-bc3d5cc38ea1,REC-LEGACY-0156,LED-LEGACY-0156,504bd696-1453-4108-9e75-1f485d973224,2265736
0efa63d2-82fb-50ce-8fe5-fe7eece98ae1,REC-LEGACY-0362,LED-LEGACY-0362,ba27535e-6e5e-4a5c-9e38-fa5b689069b3,2481548
0f2e29f0-7389-5b1e-9284-271863986e62,REC-LEGACY-0006,LED-LEGACY-0006,02ea9355-8897-4daa-9c59-4694d08c9761,3935626
0fb4f383-9f1c-5464-b78b-d008149fe024,REC-LEGACY-0050,LED-LEGACY-0050,1911c6b8-ca8d-497a-9a39-e3036a81e045,2318825
