transaction_id,vendor_id,category_code,kind,amount_minor
00055fdf-b754-5f67-beec-4038bf682f9c,,XFER,internal_transfer,900000
0044b3c0-25e0-4c3e-89fe-0913d3b87154,,UNCLASS,unclassified,-927481
0045c5a5-04b2-454a-8c90-13825fa6ce7f,,UNCLASS,unclassified,25097914
01570e24-e5f2-4699-92c6-f3ec870ea063,,UNCLASS,unclassified,-1946863
015f883f-ce3e-4357-b201-7da255702e42,,UNCLASS,unclassified,-410091
0166e101-b4b5-4eec-9349-50a48d20ab54,,UNCLASS,unclassified,1800973
01ad7a75-f6ef-454c-ae6e-b5565063ae97,,UNCLASS,unclassified,-728927
01f90e53-d245-4e92-838d-6f6f137b313e,,UNCLASS,unclassified,-30927726
024d663a-2bd1-4647-b857-9d57e2178827,,UNCLASS,unclassified,44771758
02604a9c-87d6-4265-8f57-fb497ae52600,,UNCLASS,unclassified,2833735
03001959-4478-4f96-b06e-68abe7adcfc1,,UNCLASS,unclassified,805067
0300da00-f368-4b8f-9dbf-11143f803d68,,UNCLASS,unclassified,4966042
034f4280-5a1b-4c1f-83ef-5ae5e41ba174,,UNCLASS,unclassified,-1438889
03771e26-f1f0-4c9e-ba50-7ffd853a37da,,UNCLASS,unclassified,2948415
03ad9619-728b-4c3a-9032-07fed21fb79f,,UNCLASS,unclassified,-2245126
04686cdf-58e9-47ac-9ca2-8e3d7597e66c,,UNCLASS,unclassified,-41191790
04a232c9-b14b-41d6-b3c3-204a63be8505,,UNCLASS,unclassified,1033465
04ebcee0-3132-4fe9-a62b-82193a80775d,,UNCLASS,unclassified,2429595
05965bc4-01ae-4332-93aa-0c57423fcb67,,UNCLASS,unclassified,-1677241
062b0db4-2960-4784-bc89-81cba58c37ec,,UNCLASS,unclassified,4586765
06618d67-e064-416a-bfc2-1b3c8a9215b2,,UNCLASS,unclassified,-1784016
06eed4c0-f522-4a0e-bfd3-671bfdd348e1,,UNCLASS,unclassified,1912061
072cf6bc-f75b-46d8-8f2f-bcefbaa8d346,,UNCLASS,unclassified,-2770310
07c5a616-8873-41da-bd01-962cf198e03f,,UNCLASS,unclassified,-33626194
080a4cda-5c04-4690-87f3-f4123c09d590,,UNCLASS,unclassified,-37456091
08321cda-0ca8-41ea-b49b-c721f2be3737,,UNCLASS,unclassified,9176017
090d63e8-2228-5b81-a9f0-efbf67f56428,8463a659-7733-5594-8590-3d7cd66a5c08,LOG,vendor_payment,-150000
0944fe54-9a05-4cff-857b-5c26e433e041,bd8e03c0-b540-5225-85ee-86af7c924b1d,SERV,vendor_payment,-1920154
09a04ac1-b91f-4402-b215-c2ade5f1e22d,,UNCLASS,unclassified,302263
0a2c1746-1675-4a03-8196-1554821fadb4,,UNCLASS,unclassified,2631686
0a377971-46ff-46f0-bc72-b3697a5ba095,,UNCLASS,unclassified,-3896024
0b418b0e-fe1c-469d-812e-d3e8a99e2ba2,,UNCLASS,unclassified,-1359154
0b87dbfc-ac1b-5cf0-bdb5-ef31bc93a174,f22c83a8-9d83-5529-a9b5-56b892019de1,SUP,vendor_payment,-20000
0bba6692-5f84-49fa-ad1f-de4deae248cb,,UNCLASS,unclassified,-2348824
0c25726a-8535-4582-ac88-06eae07e8d4d,,UNCLASS,unclassified,-1160830
0cabc459-2acf-411c-854e-86ea6c2b8979,,UNCLASS,unclassified,4583266
0cd59f62-76c4-47f1-a63e-d65880c5f339,,UNCLASS,unclassified,4211592
0d045a1c-0dc0-4f76-bad9-88278800a060,,UNCLASS,unclassified,-562908
0d04ec18-5e91-4dbb-9bbe-5482b40e9390,,UNCLASS,unclassified,-2080139
0db67d98-5aa3-47e3-91be-3f6c576ca429,,UNCLASS,unclassified,-1205621
